theme,url,img,lines,author
INNOVATION,/inspirational-quotes/8197-creativity-is-thinking-up-new-things,https://assets.passiton.com/quotes/quote_artwork/8197/medium/20210319_friday_quote.jpg?1615507686,Creativity is thinking up new things. Innovation is doing new things.,<Author:0x0000557555bd14e0>
INNOVATION,/inspirational-quotes/7823-innovation-is-taking-two-things-that-already,https://assets.passiton.com/quotes/quote_artwork/7823/medium/20210318_thursday_quote.jpg?1615507664,Innovation is taking two things that already exist and putting them together in a new way.,<Author:0x0000557555e378d8>
INNOVATION,/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20210317_wednesday_quote.jpg?1615507634,Innovation is the ability to see change as an opportunity – not a threat.,<Author:0x00005575560548a0>
INNOVATION,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20210316_tuesday_quote.jpg?1615507606,The world needs dreamers and the world needs doers. But above all what the world needs most are dreamers that do.,<Author:0x00005575577f18c8>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20210315_monday_quote.jpg?1615507581,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x00005575578dcd50>
DETERMINATION,/inspirational-quotes/7031-nobody-grows-old-by-merely-living-a-number-of,https://assets.passiton.com/quotes/quote_artwork/7031/medium/20210312_friday_quote.jpg?1614900784,"Nobody grows old by merely living a number of years. People grow old by deserting their ideals. Years may wrinkle the skin, but to give up wrinkles the soul.",<Author:0x00005575579af818>
DETERMINATION,/inspirational-quotes/3926-fall-seven-times-stand-up-eight,https://assets.passiton.com/quotes/quote_artwork/3926/medium/20210311_thursday_quote.jpg?1614900744,"Fall seven times, stand up eight.",<Author:0x0000557557a96330>
DETERMINATION,/inspirational-quotes/8195-some-succeed-because-they-are-destined-to-but,https://assets.passiton.com/quotes/quote_artwork/8195/medium/20210310_wednesday_quote.jpg?1614900721,"Some succeed because they are destined to, but most succeed because they are determined to.",<Author:0x0000557557cfc570>
DETERMINATION,/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones,https://assets.passiton.com/quotes/quote_artwork/6714/medium/20210309_tuesday_quote.jpg?1614900696,"If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.",<Author:0x0000557557eb26f8>
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20210308_monday_quote.jpg?1614900669,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",<Author:0x0000557558096d20>
FRIENDSHIP,/inspirational-quotes/8194-friendship-is-a-strong-and-habitual-inclination,https://assets.passiton.com/quotes/quote_artwork/8194/medium/20210305_friday_quote.jpg?1614384615,Friendship is a strong and habitual inclination in two persons to promote the good and happiness of one another.,<Author:0x00005575581869d8>
FRIENDSHIP,/inspirational-quotes/7438-the-most-beautiful-discovery-true-friends-make,https://assets.passiton.com/quotes/quote_artwork/7438/medium/20210304_thursday_quote.jpg?1614384591,The most beautiful discovery true friends make is that they can grow separately without growing apart.,<Author:0x00005575582f03f0>
FRIENDSHIP,/inspirational-quotes/8193-friends-are-the-family-you-choose,https://assets.passiton.com/quotes/quote_artwork/8193/medium/20210303_wednesday_quote.jpg?1614384566,Friends are the family you choose.,<Author:0x0000557558405bc8>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20210302_tuesday_quote.jpg?1614384547,Anything is possible when you have the right people there to support you.,<Author:0x0000557558485ff8>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20210301_monday_quote.jpg?1614384524,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x0000557557b7dfc8>
