Name,ADDRESS,Phone,MEDICARE PROVIDER ID,NATIONAL PROVIDER ID (NPI),WEBSITE,PROVIDER TYPE,OWNERSHIP,BEDS,HEALTH SYSTEM AFFILIATION
Abbott Northwestern Hospital,"800 East 28th Street, Minneapolis, MN, 55407",(612) 863-4457,240057,1760446256,https://www.allinahealth.org/Abbott-Northwestern-Hospital/,Acute Care Hospitals,Voluntary non-profit - Private,996,/health_systems/allina-health-system/
Abrazo Arizona Heart Hospital,"1930 E Thomas Rd, Phoenix, AZ, 85016",6025321000,30102,1598749269,https://www.abrazohealth.com/locations/detail/abrazo-arizona-heart-hospital,,,59,/health_systems/tenet-healthcare-corporation/
Abrazo Arrowhead Campus,"18701 North 67th Avenue, Glendale, AZ, 85308",(623) 561-1000,30094,1326022765,https://www.abrazohealth.com/our-locations/hospital-abrazo-arrowhead-campus,Acute Care Hospitals,Proprietary,217,/health_systems/tenet-healthcare-corporation/
Abrazo Central Campus,"2000 West Bethany Home Road, Phoenix, AZ, 85015",(602) 249-0212,30030,1477537363,https://www.abrazohealth.com/our-locations/abrazo-central-campus,Acute Care Hospitals,Physician,206,/health_systems/tenet-healthcare-corporation/
Abrazo Scottsdale Campus,"3929 East Bell Road, Phoenix, AZ, 85032",(602) 923-5000,30083,1326022732,https://www.abrazohealth.com/our-locations/abrazo-scottsdale-campus,Acute Care Hospitals,Proprietary,136,/health_systems/tenet-healthcare-corporation/
Abrazo West Campus,"13677 West Mcdowell Road, Goodyear, AZ, 85395",(623) 882-1970,30110,1093791170,https://www.abrazohealth.com/our-locations/abrazo-west-campus,Acute Care Hospitals,Proprietary,200,/health_systems/tenet-healthcare-corporation/
ACMH Hospital,"One Nolte Drive, Kittanning, PA, 16201",(724) 543-8500,390163,1568577724,http://www.acmh.org/,Acute Care Hospitals,Voluntary non-profit - Private,154,/health_systems/armstrong-county-memorial-hospital/
Adirondack Medical Center,"2233 State Route 86, Saranac Lake, NY, 12983",(518) 891-4141,330079,1699709576,https://www.adirondackhealth.org/,Acute Care Hospitals,Voluntary non-profit - Other,95,
AdventHealth Altamonte Springs,"601 E Rollins St, Orlando, FL, 32803",4073039659,109802,,https://www.adventhealth.com/hospital/adventhealth-altamonte-springs,,,,/health_systems/adventist-health-system/
AdventHealth Carrollwood,"7171 North Dale Mabry Highway, Tampa, FL, 33614",(813) 932-2222,100069,1427068345,https://www.adventhealth.com/hospital/adventhealth-carrollwood,Acute Care Hospitals,Voluntary non-profit - Church,103,/health_systems/adventist-health-system/
AdventHealth Central Texas,"2201 South Clear Creek Road, Killeen, TX, 76549",(254) 526-7523,450152,1629089966,https://www.adventhealth.com/hospital/adventhealth-central-texas,Acute Care Hospitals,Voluntary non-profit - Church,232,/health_systems/adventist-health-system/
AdventHealth Connerton,"9441 Health Center Drive, Land O'lakes, FL, 34637",8139713700,102026,,https://www.adventhealth.com/hospital/adventhealth-connerton,,,77,/health_systems/adventist-health-system/
AdventHealth Dade City,"13100 Fort King Road, Dade City, FL, 33525",(352) 568-3174,100211,1215444054,https://www.adventhealth.com/hospital/adventhealth-dade-city,Acute Care Hospitals,Proprietary,120,/health_systems/adventist-health-system/
AdventHealth Daytona Beach,"301 Memorial Medical Parkway, Daytona Beach, FL, 32117",(386) 676-6000,100068,1063426823,https://www.adventhealth.com/hospital/adventhealth-daytona-beach,Acute Care Hospitals,Voluntary non-profit - Church,362,/health_systems/adventist-health-system/
AdventHealth DeLand,"701 West Plymouth Avenue, Deland, FL, 32720",(386) 943-4772,100045,1649367269,https://www.adventhealth.com/hospital/adventhealth-deland,Acute Care Hospitals,Voluntary non-profit - Church,164,/health_systems/adventist-health-system/
AdventHealth Durand,"1220 Third Avenue West, Durand, WI, 54736",(715) 672-4211,521307,,https://www.adventhealth.com/hospital/adventhealth-durand,Critical Access Hospitals,Voluntary non-profit - Church,25,/health_systems/adventist-health-system/
AdventHealth Fish Memorial,"1055 Saxon Boulevard, Orange City, FL, 32763",(386) 917-5000,100072,1700978558,https://www.adventhealth.com/hospital/adventhealth-fish-memorial,Acute Care Hospitals,Voluntary non-profit - Church,175,/health_systems/adventist-health-system/
AdventHealth Gordon,"1035 Red Bud Road, Calhoun, GA, 30701",(706) 629-2895,110023,1760402424,https://www.adventhealth.com/hospital/adventhealth-gordon,Acute Care Hospitals,Voluntary non-profit - Church,69,/health_systems/adventist-health-system/
AdventHealth Hendersonville,"100 Hospital Drive, Hendersonville, NC, 28792",(828) 684-8501,340023,1427075027,https://www.adventhealth.com/hospital/adventhealth-hendersonville,Acute Care Hospitals,Voluntary non-profit - Private,103,/health_systems/adventist-health-system/
AdventHealth Manchester,"210 Marie Langdon Drive, Manchester, KY, 40962",(606) 598-5104,180043,1811922347,https://www.adventhealth.com/hospital/adventhealth-manchester,Acute Care Hospitals,Voluntary non-profit - Church,49,/health_systems/adventist-health-system/
AdventHealth Murray,"707 Old Dalton Ellijay Road, Chatsworth, GA, 30705",(706) 517-2031,110050,1750776571,https://www.adventhealth.com/hospital/adventhealth-murray,Acute Care Hospitals,Voluntary non-profit - Private,42,/health_systems/adventist-health-system/
AdventHealth New Smyrna Beach,"401 Palmetto Street, New Smyrna Beach, FL, 32168",(386) 424-5100,100014,1871977942,https://www.adventhealth.com/hospital/adventhealth-new-smyrna-beach,Acute Care Hospitals,Voluntary non-profit - Church,109,/health_systems/adventist-health-system/
AdventHealth North Pinellas ,"1395 South Pinellas Avenue, Tarpon Springs, FL, 34689",(727) 942-5000,100055,1568473015,https://www.adventhealth.com/hospital/adventhealth-north-pinellas,Acute Care Hospitals,Voluntary non-profit - Other,168,/health_systems/adventist-health-system/
AdventHealth Ocala,"1500 Sw 1st Avenue, Ocala, FL, 34471",(352) 351-7200,100062,1740772268,https://www.adventhealth.com/hospital/adventhealth-ocala,Acute Care Hospitals,Government - Hospital District or Authority,414,/health_systems/adventist-health-system/
Adventhealth Orlando,"601 East Rollins Street, Orlando, FL, 32803",(407) 303-1976,100007,1306938071,https://www.adventhealth.com/hospital/adventhealth-orlando,Acute Care Hospitals,Voluntary non-profit - Private,2891,/health_systems/adventist-health-system/
AdventHealth Palm Coast,"60 Memorial Medical Parkway, Palm Coast, FL, 32164",(386) 586-2000,100118,1679678486,,Acute Care Hospitals,Voluntary non-profit - Church,99,/health_systems/adventist-health-system/
AdventHealth Rollins Brook,"608 North Key Avenue, Lampasas, TX, 76550",(512) 556-3682,451323,,https://www.adventhealth.com/hospital/adventhealth-rollins-brook,Critical Access Hospitals,Voluntary non-profit - Church,25,/health_systems/adventist-health-system/
