hospitalname,category,serviceCode,serviceName,servicePrice,state
AdventHealth Hendersonville,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,157.95",NC
AdventHealth Hendersonville,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,409.47",NC
AdventHealth Hendersonville,Emergency Care,HCPCS 99281,Emergency Level 1,$107.21,NC
AdventHealth Hendersonville,Emergency Care,HCPCS 99282,Emergency Level 2,$256.11,NC
AdventHealth Hendersonville,Emergency Care,HCPCS 99283,Emergency Level 3,$435.11,NC
AdventHealth Hendersonville,Emergency Care,HCPCS 99284,Emergency Level 4,$720.00,NC
AdventHealth Hendersonville,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,164.29",NC
AdventHealth Hendersonville,Hospital,HCPCS 99234,Hospital observation care discharge,$138.00,NC
AdventHealth Hendersonville,Hospital,HCPCS 99219,Hospital observation care typically 70 minutes per day,$139.00,NC
AdventHealth Hendersonville,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$173.00,NC
AdventHealth Hendersonville,Hospital,HCPCS 99218,Hospital Observation per Hour,$103.00,NC
AdventHealth Hendersonville,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",$41.00,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$135.00,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$156.00,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$172.18,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$180.86,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$161.65,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$125.00,NC
AdventHealth Hendersonville,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$187.00,NC
AdventHealth Hendersonville,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$154.52,NC
AdventHealth Hendersonville,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$154.52,NC
AdventHealth Hendersonville,Psychology,HCPCS 90853,Group psychotherapy,$72.42,NC
AdventHealth Hendersonville,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$141.96,NC
AdventHealth Hendersonville,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$96.33,NC
AdventHealth Hendersonville,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$126.75,NC
AdventHealth Hendersonville,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$120.94,NC
AdventHealth Hendersonville,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$265.71,NC
AdventHealth Hendersonville,Speech,HCPCS 92507,Speech Therapy,$88.34,NC
AdventHealth Hendersonville,Speech,HCPCS 92610,Swallow Evaluation,$201.55,NC
AdventHealth Hendersonville,Speech,HCPCS 92526,Swallow Treatment,$164.54,NC
AdventHealth Hendersonville,Blood,HCPCS 85018,"Blood count, hemoglobin",$14.89,NC
AdventHealth Hendersonville,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$16.45,NC
AdventHealth Hendersonville,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$22.76,NC
AdventHealth Hendersonville,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$78.86,NC
AdventHealth Hendersonville,Blood,HCPCS 85610,"Blood test, clotting time",$22.72,NC
AdventHealth Hendersonville,Blood,HCPCS 85730,Coagulation assessment blood test,$36.06,NC
AdventHealth Hendersonville,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$23.51,NC
AdventHealth Hendersonville,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$34.49,NC
AdventHealth Hendersonville,Blood,HCPCS 85027,"Complete blood count, automated",$29.00,NC
AdventHealth Hendersonville,Blood,HCPCS 85008,Microscopic examination for white blood cells,$4.00,NC
AdventHealth Hendersonville,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$10.19,NC
AdventHealth Hendersonville,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$71.33,NC
AdventHealth Hendersonville,Blood,HCPCS 85660,Red blood cell sickling measurement,$36.06,NC
AdventHealth Hendersonville,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$480.52,NC
AdventHealth Hendersonville,Blood,HCPCS 85041,"Red blood count, automated test",$4.00,NC
